IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
154.197.92.35,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,322,4.26
154.197.92.61,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,338,4.26
149.104.33.126,25565,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,787,4.25
149.104.35.252,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,914,4.24
149.104.35.34,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,329,4.22
154.197.92.92,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,408,4.20
149.104.33.175,9443,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,711,4.19
154.197.92.243,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,529,4.17
149.104.35.111,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,429,4.17
149.104.35.105,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,485,4.17
149.104.35.67,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,862,4.15
149.104.33.140,9443,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,812,4.15
149.104.35.197,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,887,4.14
149.104.33.98,9443,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,786,4.11
149.104.33.108,9443,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,845,4.10
154.197.92.241,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,775,4.07
149.104.35.109,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,523,4.06
154.197.92.42,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,290,4.05
149.104.35.206,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,313,4.04
149.104.33.150,9443,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,908,4.03
149.104.33.112,25565,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,749,4.01
154.197.92.53,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,373,4.00
149.104.33.184,9443,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,922,3.98
149.104.35.6,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,444,3.98
149.104.35.201,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,384,3.98
154.197.92.229,9443,TRUE,HKG,HK,Asia Pacific,Hong Kong,40065,CNSERVERS,397,3.91
149.104.33.88,25565,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,704,3.89
43.250.104.81,30165,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,697,3.89
149.104.33.89,25565,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,773,3.88
149.104.33.174,9443,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,733,3.86
149.104.33.108,25565,TRUE,LAX,US,North America,Los Angeles,40065,CNSERVERS,763,3.83
